id;date;description;amount
1;2020-04-01T16:16:55;Fresh Investment Account;71619
2;2020-03-31T22:39:53;primary;60912
3;2020-04-01T13:15:31;Profound JSON;16824
4;2020-04-01T06:10:31;calculating encompassing;51711
5;2020-04-01T16:04:02;Refined Concrete Mouse;24864
6;2020-04-01T01:10:28;Kazakhstan Bedfordshire web-readiness;4551
7;2020-04-01T21:55:31;Fantastic Fresh Towels eco-centric convergence;30032
8;2020-04-01T08:30:01;Grocery Home Loan Account;51414
9;2020-03-31T23:04:21;Marketing deposit invoice;14407
10;2020-04-01T04:56:57;Rubber;62176
